id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,bearing,remark
0,工事の思い出（小河内ダム専用鉄道水根沢駅）,"[35.794035, 139.047422]",interview,ダム建設のため、国鉄氷川駅（現在のJR奥多摩駅）～水根沢駅間に6.731㎞の専用鉄道が敷設され、工事用資材が輸送されました。水根地区(旧氷川村境）には終点の水根沢駅があり、水没による家屋移転は免れたものの、大規模工事の影響は避けられませんでした。「工事で石が飛んできて屋根に穴が開いたりして、毎日怯えて生活していたそうです。ダムのために山を崩したわけだから、相当な爆破でしょう。音も石も飛んでくる。当時の家の屋根は杉の皮でできていたから、石が貫通しちゃうみたい。」〔河村美子さん／68才（昭和32年生まれ）。水根地区出身〕と、大規模工事が行われた水根地区ならではのお話を聞くことができました。,https://maps.app.goo.gl/FykRJEydJyUES1j19,,,,,,,
1,鶴の湯,"[35.77994687090152, 139.0320467949708]",folktale,"鶴の湯は、打撲・捻挫・頭痛などに効果があるとして、古くから親しまれている名湯です。温泉としての利用が始まったのは、延文年間（1356～61）頃といわれ、都から近い温泉地として多くの人が訪れました。「鶴の湯」という名は、傷ついた鶴が湯に浸かり、傷を癒したことに由来しています。
「温泉神社の横に四角い池が２つあって、そこから温泉が出ていました。ひとつは古くてお湯があまりなかったけれど、新しい方にはボコボコ湧いていた。お湯がどーっと流れて滝になっていて、滝つぼには湯治客がいました。あるとき、上級生がいたずらでそこに生きたヘビを流したんです。湯治客のところに落ちて、騒ぎになっていました（笑）」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕
「炭を売る商売をしていたおじいさんの話によると、馬を引いて氷川のほうに炭を運ぶときに、通り道に温泉が湧いているところがあって、そこに渋柿を突っ込んでいったそうです。そうすると、帰ってくる頃には渋が抜けていたんだって」〔島崎幸子さん／78才（昭和22年生まれ）。留浦地区へ嫁入〕
と、鶴の湯温泉が生活の一部だったことが伺えます。ダム建設により、鶴の湯源泉は湖底に沈みましたが、平成３年に都水道局により導水管で汲み上げる給湯場が設置され、現在も小河内荘をはじめ町内の旅館や一般家庭に提供されています。
※写真中央には嘉永７（1854）年に町火消「い組」から寄進された灯明台が見えます（現在は奥多摩水と緑のふれあい館「石碑の小径」に移設）。",https://maps.app.goo.gl/EsxzdnmwcEPP4HXW6,,鶴の湯事始め,鶴の湯事始め,tsurunoonsen-kotohazime,,,
2,馬の飾り（馬頭観音堂）,"[35.7779666937739, 139.0150630474091]",interview,"馬頭観音は、畜生道に迷う人々を救済する神様です。また、家畜の安全と健康を祈り、旅の道中を守り、馬を供養するといわれています。馬頭観音の石仏は、町内でも約30か所と多くあります。麦山地区の山の上にかつてあった馬頭観音堂では、毎年１月18日になると、村内だけでなく近隣の村からもきれいに飾った馬を連れた人々が集まり、１年の無事を願って絵馬を納めました。
「馬にお飾りをさせて、辺りを回ったりして、えらく賑やかでした」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,,,,,,,
3,小河内の林業（木下製材）,"[35.776147498604104, 139.01460170745852]",interview,"奥多摩町域では、江戸時代後期からいわゆる「青梅林業」という丸太材のため、杉檜を植栽する林業が起こりました。山から切り出した木を川に流して下流に運ぶため、製材所は川付近に建てられました。麦山地区にあった木下製材は、木を切る際に電力を使うのではなく、川の水流を利用して水車を回し、水力で丸ノコを動かしました。
「当時の道路は幅が狭くて、ガードレールはないし、舗装もされていないから、雨が降るとぬかるむ場所があった。だから、村外からやってきた車なんかが、ときどき川に落っこちていた。そうすると集落の人がみんな出てきて、下の製材工場まで車を引いていったんですよ。工場まで行けば、川に木材を運ぶ道ができているから、車を上の道に戻すことができました。」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",,,,,,,,
4,通学の思い出（竹林堂）,"[35.77767075098307, 139.01243984699252]",interview,"麦山地区にかつてあった駄菓子屋「竹林堂」。
「山の道を降りて学校に向かう途中、ここに寄って10銭で飴を買うのが楽しみでした」〔酒井常子さん／98才（昭和２年生まれ）。峰地区出身。〕
当時、小河内村には東尋常小学校と西尋常小学校・明治分教場（分校）があり、合同行事の際、峰地区の分校に通う児童たちは川野地区の本校へ徒歩で出向きました。昭和15（1940）年、峰分校に通っていた酒井常子さんは、本校で紀元二千六百年記念（神武天皇即位2600年）の式典に参加するため、赤い袴姿で１時間以上歩いたそうです。",,,,,,,,
5,木炭バスを押した坂道,"[35.775573007271426, 138.99935603141788],[35.78258412904612, 139.03854846954349]",interview,"昭和20～30年代頃、小河内村にはボンネットバス（木炭バス）が走っていました。タイヤが運転席より前にあるため、小河内の狭い道には適していたようです。
「後ろに木炭を積んだ木炭バスは馬力がなくて、坂道なんかで止まってしまう。家の近くに急な坂があって、大人たちが『もう少しだ』なんて言いながらバスを押しているのをよく見ました」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
「ボンネットバスを人力で押した」というのは、インタビューをした多くの方に共通していたエピソードで、小河内村の各地区で見られた光景だったようです。",,,,,,,,
6,観光で賑わった島勝,"[35.777829, 138.990411]",interview,"川野地区から留浦地区へ移転し、令和６（2024）年まで親しまれていたお食事処「島勝」。雑貨店や食堂と幅広い営業をされていました。
奥多摩湖には、釣りを目当てに訪れる人が多くいました。釣り大会も開かれ、留浦浮橋（ドラム缶橋）で釣りをしている人が130人もいたそうです。
「とくにワカサギはよく釣れたよ。当時の冬は今より寒くて、夜なんか水温の方が温かいから、釣り上げたワカサギが凍ってピタッと動きが止まったもんだね。奥多摩湖は遊覧船を走らせてないから、水がきれいで魚がおいしい。だから釣り人に人気でした。うちも朝６時から店を開けて朝ごはんを出したり、ワカサギの餌や釣具なんかを売っていました」
その他に、「切符を売る仕事も委託されてやっていた。手数料３%だから、いい仕事ではなかったんだけどね。土日は臨時バスが出ていて、山登り客がバス停にずらーっと並んでいた。そんな感じで、当時の奥多摩には登山をする大学生とか若い人がいっぱいいました」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
と、観光客のみなさんのニーズに応えてくれたお店でした。",https://maps.app.goo.gl/6GUSC8CSETAcpwym6,,,,,,,
7,峰谷川渓流釣場,"[35.794430, 139.004178]",current,"峰地区にある釣場。昭和32年10月、小河内村にあった３つの小学校（本校と２つの分校）は、ダム竣工とともに小河内小学校として１つに統合されました（中学校も小河内小学校に隣に新設）。役目を終えた明治分教場（分校）は、浴場を備えたヘルスセンターとして改装し、開業しました。
昭和57年にヘルスセンターから峰谷川渓流釣場とリニューアルしました。現在は、3月～11月の日曜から月曜に開設し、ヤマメ・イワナ・ニジマスが釣れます。また、新たな奥多摩の名物「やまぼこ」（奥多摩ヤマメをすり身にし、練り物にして揚げた）は町内のイベントや町内の飲食店で食べることができます。",https://maps.app.goo.gl/dVwJtpaa1mnDnCiFA,https://minedani.jp,峰谷川渓流釣場HP,,,,,
8,熱海の井戸,"[35.7830497744553, 139.04176712036136]",interview,"「熱海」という地名は、日当たりがよく地熱が高くなるところに付けられるようで、熱海地区も井戸から湯気が出ていたことに由来するそうです。
「熱海の川は、途中から崖になっていて水を汲みに行けないから、集落に２～３箇所ある井戸をみんな利用していました」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕",,,,,,,,
9,湖底へ続く道,"[35.786279, 139.042859]",interview,"付替道路（主に現在の国道411号線）は湖底に沈んだ旧道と並行して奥多摩湖添いに新設されました。その付替道路から旧道へと交わる場所が現在の小河内郵便局向いにあり、湖底へと続く道の一部を見ることができます。
「大人がトラックを運転して、子どもたちは荷台に乗って、この道沿いの水門が見えるところまで行きました。式典の鳩が飛んでいた気がします。水門が閉まると、川の水がどんどんたまっていきました」〔島崎治二さん／80才（昭和21年生まれ）。川野地区出身〕
昭和32年6月6日、排水路の水門が閉鎖し、奥多摩湖への湛水が始まりました。その様子を対岸の付替道路で見たという島崎さんの印象深いエピソードです。",https://maps.app.goo.gl/jYHD263csWJ3fP4s5,,,,,,,
10,寺の跡地,"[35.78041589176191, 139.036534113836]",interview,"出野・原地区の門覚寺跡地は、平地でグラウンドのようになっており、青年団が陸上競技の練習をするのに使われていました。
「その頃は青年団の活動が盛んで、西多摩郡の陸上大会などもありました。小河内村でも、各集落ごとに対抗試合をしていた。河内集落が強くてね。河内は教員住宅に住む先生もいて足が速い人が多かった。だから河内はいつも１等賞で、子どもながらに悔しかったね」〔岡部義重さん／89才（昭和12年生まれ）。原地区出身〕
各地区の広場は、年頃の若者達の出会いと交流の場だったようです。",,,,,,,,
1001,集落間で競ったどんど焼き,"[35.77485923953054, 139.0047097206116],[35.776069159121334, 139.00376558303836]",interview,昭和初期頃まで、１月14・15・16・20の４日間にわたって行われた「せえの神（さいの神）祭りで、お正月飾りのオッカドボウ・アウボ・ヒエボ、御札や御守をお焚き上げをします（「どんど焼き」とも）。この火に温まれば年中無病息災、枝にさした「まゆ玉」を火で焦がして食べると風邪にかかることがないと言われています。かつては川野・青木・麦山・南・河内・湯場・原・熱海など多くの地区で、地区の境界を守護した道祖神の近くで行われたようです。「負けないようにみんなでお松を集めて、朝までやっていましたね」〔島崎治二さん／80才（昭和21年生まれ）。川野地区出身〕と、炎の大きさを競ったというお話も聞きました。現在では、川野地区のみ開催されています。,https://maps.app.goo.gl/obwi1friYxVcMokj9,,,,,,,
1002,生活を支えた川,"[35.7760169327566, 138.98883104324344],[35.77374940501212, 139.00113701820376],[35.78245792561493, 139.04060840606692]",interview,"　小河内村は、川からそう遠くない場所に民家が並び、川で洗濯をしたり、瓶やお風呂に水をためて生活をしていました。「ここで大人がよくおしめを洗っていた」「道が悪い所を、毎日天秤棒を担いで水を運んだ」というお話も。水汲みは重労働ですが、登校前の子供やお腹の大きい妊婦もしていたようです。
　一方で、「川が近かったから、学校帰りに何人かで川原に降りて水浴びをしてました。下着１枚なって向こう岸までで引っ張ってもらって、そこの淵で遊んで、夕方近くなると家に帰ったの」〔島崎やす子さん／81才（昭和19年生まれ）。留浦地区出身〕
「上級生に犬かきとか、平泳ぎとかを教わったね。プールなんてなかったから、泳ぎは川で覚えました」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
他にも大きな岩から飛び込みをする、もりでカジカを捕る…など、川は子供たちにとって絶好の遊び場でもあり、人々の生活にとって欠かせないものでした。",,,,,,,,
1003,２度の大火事,"[35.77727035604214, 139.01111483573916],[35.77609527229084, 139.0022420883179]",interview,"ダム建設の事業認可が下りず小河内村の人々が混乱していた昭和９年、追い討ちをかけるように２度の大火事がありました。
１度目は１月、麦山地区の対岸であがった火が風にあおられて集落に届き、24戸45棟が焼失。２度目は４月、民家から広がった火が川野地区の38戸と隣の青木地区の21戸合計86棟を焼失しました。
「集落の人たちはみんな、よその集落に避難しました。新しく家を建てるときもよその集落の大工さんが応援にきてくれましたね。たまたま同じ年だったから、余計に大変でした。」〔岡部幸雄さん／92才（昭和８年生まれ）。麦山地区出身。〕",,,,,,,,
1004,小河内小学校・中学校,"[35.7866492373623, 139.01456508747506]",interview,"小河内村には、河内地区にある小河内小学校と、川野地区の川野分校、峰地区の明治分校の３校がありました。
「友達が引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」〔島崎保子さん／81才（昭和19年生まれ）。留浦地区出身〕
ダム建設により945世帯〔小河内村、小菅村（山梨県）、丹波山村（山梨県）３ヵ村合わせて〕という多くの人々の移転がありました。昭和32年７月に小河内小学校が完成し、８月には新校舎へと移転します。３校がひとつになった新たな学び舎での生活が始まりました。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えています」〔同上〕
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
小河内小学校・中学校は平成16年に廃校になりましたが、校舎はいまも現存し、会社の事務所などに活用されています。",https://maps.app.goo.gl/N8DD1gg2eRQuWA827,https://youtu.be/WqjpF6hbolM?si=axZa7OeTfzxVVqoT&t=258,~ダムに沈む小学校~(youtube),,,,,
11,徳富蘇峰詩碑,null,,"温泉神社内
■旧：温泉神社→現：ふれあい館
16:温泉神社に集約",,,,,,,,
12,い組奉納の灯籠,null,,"■旧：鶴の湯温泉→現：ふれあい館
16:温泉神社に集約",,,,,,,,
13,日食供養塔,"[35.779981686726856, 139.03605401515964]",historical,元出野・原地区にありましたが、小河内ダム建設のため、奥多摩郷土資料館（現奥多摩水と緑のふれあい館）に移設されました。寛政11（1799）年建立、他にはあまり見られない日食を供養した石塔です。建立の理由はわかりませんが、「天とうさまどうか大きな疫病がはやりませんように」と、疫病や自然災害に遭わないよう願いが込められたものと思われます。高さ118㎝、幅56㎝。その珍しさから、天文学ファンが訪れます。奥多摩水と緑のふれあい館には、水没対象地域から移設された石造物が「石碑の小径」にずらりと野外展示されています。,https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,https://www.youtube.com/watch?v=n3PDWWDD9BE,産経ニュース(YouTube),,,,,
14,聖徳太子供養塔,"[35.760225588950014, 139.02449369430545]",folktale,"移転はされず、日指地区・山のふるさと村敷地内に現存する石仏です。大工・左官・建具・木挽・杣職人などが多かった小河内村では、聖徳太子信仰、太子講が盛んでした。
この塔に由来する「女の髪の毛と大石」という民話も残されています。",https://maps.app.goo.gl/fv2nGbAWHSP3pfVR7,,女の髪の毛と大石,女の髪の毛と大石,onnanokaminoketo-oishi,,,
15,小河内温泉の碑,null,,"■旧：温泉神社→現：温泉神社
16:温泉神社に集約",,,,,,,,
16,温泉神社,"[35.779825015273744, 139.0317946673234]",heritage,元は湯場地区・鶴の湯の湯壺の傍に祀られたことから、湯の権現（のちに熊野三社権現）と呼ばれていました。小河内ダム建設のため小河内神社に合祀され、現在地へ移転しました。延文６（1361）年に勧請されたといわれ、社殿は明治６年の再建で、町内では珍しい見事な彫刻が施されています。原地区の鎮守で、９月第２日曜の祭礼で原獅子舞が奉納されます。境内には文政４（1821）年建立の小河内温泉神社の碑があります。この碑は、亀田鵬斎の撰書で小河内温泉を絶賛した銘文が記され、裏面には酒井抱一の「千代にほふ鶴の出温泉（いでゆ）や夏知らず」の句が彫られています。,https://maps.app.goo.gl/fSvSHZfDuZrWXEQF6,https://youtu.be/VVBUzBivv6c,原獅子舞(YouTube),,,原獅子舞,,
17,小河内神社,"[35.77660882954816, 139.0207600593567]",current,河内地区・奥多摩湖河内岬。小河内ダム建設のため水没対象地域にあった、温泉・金御岳・箭芎・貴船・愛宕・熊野（青木）・御霊・加茂・御岳（留浦）神社の９社11祭神を合祀し、昭和33年に遷座された小河内地区の総鎮守です。合祀後の９社の内７社の社殿は、住民の希望により各地域に移設されています。９月第２日曜の例祭で、川野獅子舞・原獅子舞・小河内の鹿島踊が奉納されます（坂本の獅子舞・小留浦の花神楽は現在休止中）。首都用水を守護するパワースポットとして人気を集めています。,https://maps.app.goo.gl/hcG4JmfGTg4XSnGW6,,,,,,,
18,金御岳神社,"[35.77475043290969, 139.0221279859543]",historical,"元河内地区の鎮守。祭神は天照皇大神・広国押武金日尊。都有形文化財指定の弘安７（1284）年の銘をもつ蔵王権現や平安時代や鎌倉時代にかけての貴重な仏像が多数あり、古社であることが伺えます。
小河内ダム建設により、小河内神社に合祀され、残念ながら社殿は現存していませんが、社殿横にあった御手洗（手水舎）は奥多摩水と緑のふれあい館に移設し、野外展示されています。",https://maps.app.goo.gl/vYiU2y6rfuGEBJ5XA,,,,,,,"「やまんばあ物語り」■旧：金御岳神社

４２塚と重複するので、こちらを削除"
19,箭芎神社（矢弓亭）,"[35.77427168200917, 138.9990341663361]",heritage,小河内ダム建設により、小河内神社に合祀されました。川野地区の鎮守で、９月第２日曜の例祭に川野獅子舞が奉納されます。境内には、同じく小河内神社へ合祀された熊野神社（青木地区）、その他に熊野神社（川野地区）・川上神社が鎮座されています。箭芎神社の神職をされていた方が移転後、食事処「矢弓亭」を始めました。コシのある手打ち蕎麦、かつ丼や親子丼などのメニューも人気です。手作りの山菜のメニューにはふき、椎茸、タケノコのちょっと珍しいラインナップでクセのない優しい味付けです。ラーメンは500円というビックリ価格で、売切れる可能性も。,https://maps.app.goo.gl/5DPJm4pUJSycKtoU7,https://youtu.be/3sWN0PwAtVY,川野獅子舞(YouTube),,,川野獅子舞,,やきゅう　現在、川野に箭弓神社あり
20,太子堂,"[35.77657401221181, 138.99421691894534]",historical,小留浦地区にある農村舞台で、聖徳太子像を安置しています 。ダム建設により同じ小留浦地区内で移転しました。文久３（1863）年の建立で、江戸末期における山村の娯楽施設として都有形文化財の指定を受けています。板敷の床面が回転装置となっていて、これに竪枠舞台を乗せて舞台を回転させます。かつては、農村芝居や現在は休止中の花神楽（祭礼は９月第２日曜、小河内神社へ奉納）などを上演し、人々の娯楽施設として見るものを楽しませました。,https://maps.app.goo.gl/DSkzFEm7RCSRJaBD7,,,,,,,花神楽
21,姫石観音,"[35.778292, 138.996514]",folktale,小留浦地区。太子堂の前の山道を10分程登ったところにあります。自然石そのものを神仏として信仰の対象とした懸崖像です。女体を連想させるご本尊は古くから子宝石として、また安産の神様として信仰されています。,https://maps.app.goo.gl/4ppFqVt6hUC54LMR9,,姫の石観音,姫の石観音,himenoishi-kannon,,,"パワースポット
現存"
22,貴船神社,"[35.778410, 138.990591]",current,留浦地区の鎮守。小河内ダム建設により、小河内神社に合祀されましたが、移転することなく本殿もそのままの場所で現存しています 。昭和59年に本殿の内外部、雨屋の補修が行われ、拝殿が新築されました。本殿横に天神様が祀られ、留浦生活館も隣接します。,https://maps.app.goo.gl/mz2sMm9wYDu4ReuWA,,,,,,,"「水を止めた茶釜」
短い話なので、原稿に追記する形で。"
23,花入神社,"[35.795751, 138.997006]",heritage,峰地区の鎮守。峰地区は水没地域ではなかったため移転はなく、そのままの場所で現存しています。木花咲耶姫を祀り、境内には町内で珍しい２対の石灯籠があります。毎年峰の獅子舞が奉納されていましたが、現在は休止中です。,https://maps.app.goo.gl/cgN79yvXbQhNjSuMA,,峰獅子舞(YouTube),,,峰獅子舞,,
24,浅間神社,null,,富士信仰,,,,,,,,
25,白髭神社,null,,,,,,,,,,
26,加茂神社,"[35.759912167819856, 139.02436494827273]",heritage,日指地区の元鎮守。日指地区は、水没はしませんが交通が遮断してしまうため、全戸移転となった地域です。当社は、小河内神社に合祀されましたが、社殿はそのまま山のふるさと村敷地内に現存しています。祭神は鴨別雷神。合祀以前は、当社と御霊神社（南地区）に小河内の鹿島踊が奉納されていました。,https://maps.app.goo.gl/5DPJm4pUJSycKtoU7,https://youtu.be/dSWFh6ZL6uk,鹿島踊(YouTube),,,鹿島踊,,
