id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,bearing,remark
49,湖底から移築された民家（陣屋）,"[35.77446318271526,139.00135159492496]",historical,川野地区にある飲食店。移転前も川野にあり、かつては林業や農業を営んでいましたが、移転後に「陣屋」を開店されました。手打ち蕎麦と店主自慢の手作り刺身コンニャク、奥多摩産の山菜を使った山菜メニューも人気です。定食メニューも充実しており、ヤマメの塩焼きやコンニャク、山菜の煮物も楽しめます。湖底にあった自宅を解体して、移築したという日本家屋の店構えも必見です。,https://maps.app.goo.gl/KPkn8LRVn9BXTLsh9,https://x.com/sWWKKwJdzm88409,X(奥多摩 陣屋),,,,,
50,箭芎神社,null,historical,かつては川野地区・箭芎神社の社家でした。移転後は川野地区の飲食店「矢弓亭」になり、地元の山菜を使った山菜蕎麦、かつ丼が人気です。,https://maps.app.goo.gl/A2wdn2PtHzJfYZ8Y8,,,,,,,１９に合体
51,清流荘（峰谷ショップ清流荘）,"35.794688, 139.001756",current,"
下り地区にあるカフェ・売店。下り・奥・峰地区は小河内ダム建設による水没対象外地域でした。「清流荘」は奥多摩湖の完成後に旅館として営業されてきました。令和７年に峰谷ショップ清流荘として、売店を併設したカフェへとリニューアルオープンしました。ホットサンドやケーキ、コーヒー、甘酒などの軽食から、店の外には酒類もある飲み物の自動販売機も設置。ティッシュペーパーやキッチンペーパーなどの日用品からオリジナルグッズや熊鈴などのお土産品まで、いざという時に頼りになるお店です。",https://maps.app.goo.gl/fzUWv3rc4HZjmUam7,https://www.instagram.com/minedanishop_seiryuso/,instagram(峰谷ショップ),,,,,現在地
52,えびすや旅館（小河内荘）,"[35.77504203431839, 139.00343567132953]",historical,原地区にある旅館。元は川野地区でえびすや旅館として営業されていました。現在、「小河内荘」として小河内地区で宿泊できる唯一の旅館です。宿からの奥多摩湖の眺望もよく、お風呂は鶴の湯の温泉を使用しています。,https://maps.app.goo.gl/UUACYUmpssetoGAB9,http://www.ogoutiso.co.jp/,小河内荘HP,,,,,エビスヤ
53,小河内ダム展望塔,"[35.789246, 139.050935]",current,奥多摩湖を管理・運用するための東京都水道局の施設です 。小河内ダムの安全な貯水・放流業務や周辺水源の管理を行い、首都東京への安定的な水の供給を支えています。ダム堤頂部には、展望塔があり、ダムの歴史を紹介した展示室とダムが一望できる展望室があります。,https://maps.app.goo.gl/Lt49zz8JyzXPqkVs8,,,,,,,現在地
54,奥多摩水と緑のふれあい館,"[35.792685, 139.048123]",current,"昭和53年４月、小河内ダム建設により水没した小河内村の歴史や文化財をはじめとして、奥多摩町域の郷土を広く周知するため奥多摩郷土資料館が開館しましたが、平成７年に閉館します。その後、平成10年に東京近代水道100周年記念事業の一環として、小河内貯水池の重要性・水源保全のPRを目的に、奥多摩水と緑のふれあい館が奥多摩町と都水道局の共同で新たに開館しました。
奥多摩の歴史や文化、郷土芸能、小河内ダムの歴史や水源林の管理などが学べる施設です。屋外の「石碑の小径」では、小河内ダム建設により移設された数多くの石仏・石碑が展示されています。",https://maps.app.goo.gl/ikVmMiSZVVMzFb7x8,,,,,,,現在地
55,ドラム缶橋（浮橋）,null,,海外からの旅行者に人気,,,,,,,,
56,いこいの道,null,,,,,,,,,,
57,山のふるさと村,null,,,,,,,,,,
58,カキの木,"[35.793920, 139.000346]",current,峰地区にあるカキの木。ここは「柿干」と呼ばれ、現在の道路ができる以前は下り地区からつづら折りの急坂を登り、一息つく場所でした。秋には沢山の赤い実をつけ、見て食べてこの道を通る人々を楽しませたのではないでしょうか。樹高10ｍ、幹囲2.7ｍ。,https://maps.app.goo.gl/HpDNpdUhgMQWubrK9,,,,,,,"GoogleMapでスポットあり
酒井常子さん実家にあるカキの木"
59,鹿島踊,null,,主に寺院神社↓,,,,,,,,
60,車人形,null,,,,,,,,,,
61,原獅子舞,null,,,,,,,,,,
62,川野獅子舞,null,,,,,,,,,,
63,坂本獅子舞,null,,,,,,,,,,
64,峰獅子舞,null,,,,,,,,,,
65,花神楽,null,,,,,,,,,,
66,よいさか踊,"[35.77628676860512, 138.9895284175873]",heritage,留浦地区の貴船神社の祭礼で踊ったとされますが、残念ながら現在は継承されていません。踊りは３人で踊り、男型の時は男装、女装の時は女装男女の装束を纏った3人で踊られたようです。,,,,,,よいさか踊,,"留浦プロット済み
写真で紹介"
67,写し絵,"[35.77580802695467, 138.99037599563601]",heritage,河内地区で使われていた、写し絵（影絵とも呼ばれる）の幻燈の機械です。かつて村の娯楽として親しまれ、暗闇の中に浮かび上がる映像が人々に驚きと喜びを与えていました。説教浄瑠璃に合わせて場面が切り替えられました。現在は奥多摩水と緑のふれあい館１階で展示されています。,,,,,,写し絵,,"留浦プロット済み
写真で紹介"
68,杉田家（川野）,null,folktale,川野地区で代々続く旧家で、浄光院の開基である杉田重直夫妻を輩出した歴史を持ちます 。浄光院には今も夫妻の木像が安置されています 。ダム建設に伴う激動の中で、地域の伝統と信仰を支え、郷土芸能の継承などにおいても中心的な役割を果たしてきた、川野を代表する一族です。,,,,,,,,"※郷土芸能は映像をリンク
「土蔵破り」「猫おどり秘聞」「おつねの泣き坂」"
69,昭島市の郷土会,"[35.77725512358607,139.0247002243996]",interview,住人の移転先で最も多かったのは昭島市でした。移転先の昭島市では、河内地区の郷土会「河内会」が結成されました。昭和58年、かつて暮らしていた街並みを思い出し、村役場や小・中学校があり小河内村の行政の中心であった河内地区の住宅地図が作られました（昭島市教育委員会所蔵）。,,,,,,,,※昭島の河内集落の住宅地図を掲載予定
70,西尋常高等小学校,"[35.77509426132346, 139.00262832641604]",interview,"小河内村には、河内地区にある小河内小学校と、川野地区の川野分校、峰地区の明治分校の３校がありました。
「友達が引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」〔島崎保子さん／81才（昭和19年生まれ）。留浦地区出身〕
ダム建設により945世帯〔小河内村、小菅村（山梨県）、丹波山村（山梨県）３ヵ村合わせて〕という多くの人々の移転がありました。昭和32年７月に小河内小学校が完成し、８月には新校舎へと移転します。３校がひとつになった新たな学び舎での生活が始まりました。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えています」〔同上〕
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
小河内小学校・中学校は平成16年に廃校になりましたが、校舎はいまも現存し、会社の事務所などに活用されています。",https://maps.app.goo.gl/N8DD1gg2eRQuWA827,https://youtu.be/WqjpF6hbolM?si=axZa7OeTfzxVVqoT&t=258,~ダムに沈む小学校~(youtube),,,,,
